	Genes	GO_term	GO_id	TAIR_id	GO_slim
3799	AT1G55970	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3800	AT1G55980	nuclear localization sequence binding	0008139	3374.0	other binding
3801	AT1G55990	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3802	AT1G56000	ATPase activity	0016887	907.0	hydrolase activity
3803	AT1G56010	oxidoreductase activity	0016491	3460.0	catalytic activity
3804	AT1G56020	copper ion binding	0005507	1990.0	other binding
3805	AT1G56040	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
3806	AT1G56045	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
3807	AT1G56050	kinase activity	0016301	2953.0	kinase activity
3808	AT1G56060	voltage-gated chloride channel activity	0005247	4637.0	transporter activity
3809	AT1G56070	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3810	AT1G56080	protein binding	0005515	3877.0	protein binding
3811	AT1G56085	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3812	AT1G56090	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3813	AT1G56105	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3814	AT1G56110	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3815	AT1G56120	calcium:cation antiporter activity	0015368	1780.0	transporter activity
3816	AT1G56130	cation:cation antiporter activity	0015491	1870.0	transporter activity
3817	AT1G56140	galactinol-sucrose galactosyltransferase activity	0047274	15798.0	transferase activity
3818	AT1G56145	enzyme inhibitor activity	0004857	2267.0	enzyme regulator activity
3819	AT1G56150	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3820	AT1G56160	rRNA (uridine-N3-)-methyltransferase activity	0070042	30378.0	transferase activity | catalytic activity
3821	AT1G56170	rRNA (uridine-N3-)-methyltransferase activity	0070042	30378.0	transferase activity | catalytic activity
3822	AT1G56180	rRNA (uridine-N3-)-methyltransferase activity	0070042	30378.0	transferase activity | catalytic activity
3823	AT1G56190	protein binding	0005515	3877.0	protein binding
3824	AT1G56200	uridine kinase activity	0004849	4596.0	kinase activity
3825	AT1G56210	unfolded protein binding	0051082	18978.0	protein binding
3826	AT1G56220	cullin family protein binding	0097602	46528.0	protein binding
3827	AT1G56225	cellulose synthase (UDP-forming) activity	0016760	1884.0	transferase activity
3828	AT1G56230	ubiquitin-protein transferase activity	0004842	4573.0	transferase activity | catalytic activity
3829	AT1G56240	RNA binding	0003723	1217.0	RNA binding
3830	AT1G56250	pyridoxal phosphate binding	0030170	8613.0	other binding
3831	AT1G56260	mRNA binding	0003729	3091.0	RNA binding
3832	AT1G56280	phosphoprotein phosphatase activity	0004721	3896.0	catalytic activity | hydrolase activity
3833	AT1G56290	metal ion transmembrane transporter activity	0046873	13967.0	transporter activity
3834	AT1G56300	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3835	AT1G56310	serine O-acetyltransferase activity	0009001	4099.0	transferase activity
3836	AT1G56320	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3837	AT1G56330	flavin adenine dinucleotide binding	0050660	17564.0	nucleotide binding | other binding
3838	AT1G56340	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	0016705	3495.0	catalytic activity
3839	AT1G56345	protein binding	0005515	3877.0	protein binding
3840	AT1G56350	lipid binding	0008289	3020.0	lipid binding
3841	AT1G56420	histone acetyltransferase activity	0004402	2723.0	transferase activity
3842	AT1G56423	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3843	AT1G56430	oxidoreductase activity	0016491	3460.0	catalytic activity
3844	AT1G56440	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
3845	AT1G56450	ubiquitin-protein transferase activity	0004842	4573.0	transferase activity | catalytic activity
3846	AT1G56460	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3847	AT1G56500	GTP binding	0005525	1035.0	nucleotide binding | other binding
3848	AT1G56510	protein binding	0005515	3877.0	protein binding
3849	AT1G56520	mRNA binding	0003729	3091.0	RNA binding
3850	AT1G56540	protein binding	0005515	3877.0	protein binding
3851	AT1G56550	peptidyl-prolyl cis-trans isomerase activity	0003755	3623.0	catalytic activity
3852	AT1G56555	pectinesterase inhibitor activity	0046910	14197.0	enzyme regulator activity
3853	AT1G56560	snoRNA binding	0030515	9776.0	RNA binding
3854	AT1G56570	kinase activity	0016301	2953.0	kinase activity
3855	AT1G56580	protein serine/threonine kinase activity	0004674	3907.0	transferase activity | kinase activity | catalytic activity
3856	AT1G56590	protein serine/threonine kinase activity	0004674	3907.0	catalytic activity | kinase activity | transferase activity
3857	AT1G56600	protein kinase activity	0004672	3889.0	kinase activity | catalytic activity | transferase activity
3858	AT1G56610	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3859	AT1G56630	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
3860	AT1G56650	RNA polymerase II cis-regulatory region sequence-specific DNA binding	0000978	35769.0	DNA binding | nucleic acid binding
3861	AT1G56660	metalloendopeptidase activity	0004222	3176.0	catalytic activity | hydrolase activity
3862	AT1G56670	ADP binding	0043531	22291.0	other binding | nucleotide binding
3863	AT1G56690	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3864	AT1G56700	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3865	AT1G56710	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3866	AT1G56720	carbohydrate binding	0030246	8584.0	carbohydrate binding
3867	AT1G57540	protein binding	0005515	3877.0	protein binding
3868	AT1G57560	protein binding	0005515	3877.0	protein binding
3869	AT1G57570	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3870	AT1G57590	sequence-specific DNA binding	0043565	22416.0	DNA binding
3871	AT1G57600	3'-5' exonuclease activity	0008408	799.0	nuclease activity
3872	AT1G57610	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3873	AT1G57620	protein binding	0005515	3877.0	protein binding
3874	AT1G57630	calcium ion binding	0005509	1755.0	other binding
3875	AT1G57650	pseudouridine synthase activity	0009982	13398.0	catalytic activity
3876	AT1G57660	translation release factor activity, codon specific	0016149	4488.0	translation factor activity, RNA binding
3877	AT1G57670	acid phosphatase activity	0003993	1343.0	hydrolase activity
3878	AT1G57680	double-stranded DNA binding	0003690	2198.0	DNA binding
3879	AT1G57700	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3880	AT1G57720	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3881	AT1G57730	protein folding chaperone	0044183	33050.0	other molecular functions
3882	AT1G57765	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3883	AT1G57770	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3884	AT1G57780	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3885	AT1G57790	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3886	AT1G57820	nicotianamine synthase activity	0030410	9635.0	transferase activity
3887	AT1G57850	protein binding	0005515	3877.0	protein binding
3888	AT1G57860	ADP binding	0043531	22291.0	nucleotide binding | other binding
3889	AT1G57870	NAD+ nucleotidase, cyclic ADP-ribose generating	0061809	53245.0	hydrolase activity
3890	AT1G57906	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3891	AT1G57943	NAD(P)+ nucleosidase activity	0050135	16367.0	hydrolase activity
3892	AT1G57980	UDP-xylosyltransferase activity	0035252	19267.0	transferase activity
3893	AT1G57990	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3894	AT1G58007	glycopeptide alpha-N-acetylgalactosaminidase activity	0033926	28746.0	catalytic activity | hydrolase activity
3895	AT1G58025	RNA binding	0003723	1217.0	RNA binding
3896	AT1G58030	protein binding	0005515	3877.0	protein binding
3897	AT1G58060	inositol 3-alpha-galactosyltransferase activity	0047216	15816.0	transferase activity
3898	AT1G58070	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3899	AT1G58080	enzyme inhibitor activity	0004857	2267.0	enzyme regulator activity
3900	AT1G58100	protein binding	0005515	3877.0	protein binding
3901	AT1G58110	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3902	AT1G58120	hydrolase activity, acting on ester bonds	0016788	2777.0	hydrolase activity
3903	AT1G58150	chitinase activity	0004568	1902.0	hydrolase activity
3904	AT1G58160	RNA binding	0003723	1217.0	RNA binding
3905	AT1G58170	pyroglutamyl-peptidase activity	0016920	3967.0	hydrolase activity | catalytic activity
3906	AT1G58180	polygalacturonase activity	0004650	3789.0	hydrolase activity
3907	AT1G58190	protein serine/threonine kinase activity	0004674	3907.0	catalytic activity | transferase activity | kinase activity
3908	AT1G58200	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3909	AT1G58210	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
3910	AT1G58215	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3911	AT1G58220	carboxylic ester hydrolase activity	0052689	37985.0	hydrolase activity
3912	AT1G58223	transferase activity, transferring acyl groups	0016746	4460.0	transferase activity
3913	AT1G58225	calcium channel activity	0005262	1756.0	transporter activity
3914	AT1G58230	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3915	AT1G58235	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3916	AT1G58250	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3917	AT1G58265	RNA polymerase II CTD heptapeptide repeat kinase activity	0008353	1306.0	transferase activity | kinase activity | catalytic activity
3918	AT1G58270	copper ion binding	0005507	1990.0	other binding
3919	AT1G58280	ubiquitin protein ligase activity	0061630	45660.0	catalytic activity | transferase activity
3920	AT1G58290	midchain alkane hydroxylase activity	0080133	31972.0	catalytic activity
3921	AT1G58300	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3922	AT1G58320	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3923	AT1G58330	oxidoreductase activity	0016491	3460.0	catalytic activity
3924	AT1G58340	protein binding	0005515	3877.0	protein binding
3925	AT1G58350	methyl-CpNpN binding	0010429	27078.0	nucleotide binding
3926	AT1G58360	chromatin binding	0003682	1936.0	chromatin binding
3927	AT1G58370	structural constituent of ribosome	0003735	4271.0	structural molecule activity
3928	AT1G58380	protein serine/threonine kinase activity	0004674	3907.0	transferase activity | catalytic activity | kinase activity
3929	AT1G58390	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3930	AT1G58400	purine nucleobase transmembrane transporter activity	0005345	3951.0	transporter activity
3931	AT1G58410	purine nucleoside transmembrane transporter activity	0015211	3947.0	transporter activity
3932	AT1G58420	purine nucleoside transmembrane transporter activity	0015211	3947.0	transporter activity
3933	AT1G58430	amino acid transmembrane transporter activity	0015171	1511.0	transporter activity
3934	AT1G58440	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3935	AT1G58470	RNA binding	0003723	1217.0	RNA binding
3936	AT1G58520	RNA helicase activity	0003724	1221.0	catalytic activity | hydrolase activity
3937	AT1G58602	actin filament binding	0051015	18617.0	protein binding | other binding
3938	AT1G58848	ATP phosphoribosyltransferase activity	0003879	898.0	transferase activity
3939	AT1G59359	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3940	AT1G59510	sequence-specific DNA binding	0043565	22416.0	DNA binding
3941	AT1G59520	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
3942	AT1G59540	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3943	AT1G59560	carbonate dehydratase activity	0004089	1809.0	catalytic activity
3944	AT1G59580	ion channel activity	0005216	2912.0	transporter activity
3945	AT1G59590	actin filament binding	0051015	18617.0	protein binding | other binding
3946	AT1G59600	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3947	AT1G59610	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3948	AT1G59620	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3949	AT1G59640	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3950	AT1G59650	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	0016709	3497.0	catalytic activity
3951	AT1G59660	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	0016705	3495.0	catalytic activity
3952	AT1G59670	intramolecular transferase activity, phosphotransferases	0016868	2905.0	catalytic activity
3953	AT1G59700	glutamyl-tRNA reductase activity	0008883	2536.0	catalytic activity | catalytic activity
3954	AT1G59710	heme oxygenase (decyclizing) activity	0004392	2656.0	catalytic activity
3955	AT1G59720	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3956	AT1G59725	sequence-specific DNA binding	0043565	22416.0	DNA binding
3957	AT1G59730	antiporter activity	0015297	1550.0	transporter activity
3958	AT1G59740	L-serine transmembrane transporter activity	0015194	4105.0	transporter activity
3959	AT1G59750	endo-1,4-beta-xylanase activity	0031176	20636.0	hydrolase activity
3960	AT1G59760	mRNA binding	0003729	3091.0	RNA binding
3961	AT1G59820	ADP binding	0043531	22291.0	other binding | nucleotide binding
3962	AT1G59830	ADP binding	0043531	22291.0	other binding | nucleotide binding
3963	AT1G59840	ADP binding	0043531	22291.0	other binding | nucleotide binding
3964	AT1G59850	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3965	AT1G59860	hydrolase activity, acting on ester bonds	0016788	2777.0	hydrolase activity
3966	AT1G59865	squalene monooxygenase activity	0004506	4223.0	catalytic activity
3967	AT1G59870	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3968	AT1G59890	single-stranded RNA binding	0003727	4158.0	RNA binding
3969	AT1G59900	calcium activated cation channel activity	0005227	1754.0	transporter activity
3970	AT1G59910	lipase activity	0016298	3019.0	hydrolase activity
3971	AT1G59920	ADP binding	0043531	22291.0	nucleotide binding | other binding
3972	AT1G59930	mRNA binding	0003729	3091.0	RNA binding
3973	AT1G59940	lipase activity	0016298	3019.0	hydrolase activity
3974	AT1G59950	ADP binding	0043531	22291.0	other binding | nucleotide binding
3975	AT1G59960	ADP binding	0043531	22291.0	nucleotide binding | other binding
3976	AT1G59970	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3977	AT1G59980	mRNA binding	0003729	3091.0	RNA binding
3978	AT1G59990	lipase activity	0016298	3019.0	hydrolase activity
3979	AT1G60000	ADP binding	0043531	22291.0	other binding | nucleotide binding
3980	AT1G60010	inositol pentakisphosphate 2-kinase activity	0035299	19668.0	kinase activity | transferase activity
3981	AT1G60030	ADP binding	0043531	22291.0	other binding | nucleotide binding
3982	AT1G60060	inositol pentakisphosphate 2-kinase activity	0035299	19668.0	transferase activity | kinase activity
3983	AT1G60070	mRNA binding	0003729	3091.0	RNA binding
3984	AT1G60080	lipase activity	0016298	3019.0	hydrolase activity
3985	AT1G60095	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3986	AT1G60110	acid-amino acid ligase activity	0016881	1344.0	catalytic activity
3987	AT1G60140	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3988	AT1G60160	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3989	AT1G60170	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
3990	AT1G60190	microtubule motor activity	0003777	3215.0	motor activity
3991	AT1G60200	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3992	AT1G60220	ubiquitin-protein transferase activity	0004842	4573.0	transferase activity | catalytic activity
3993	AT1G60230	MAP kinase activity	0004707	1091.0	transferase activity | kinase activity | catalytic activity
3994	AT1G60260	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3995	AT1G60270	GTPase activity	0003924	1041.0	hydrolase activity
3996	AT1G60340	ADP binding	0043531	22291.0	nucleotide binding | other binding
3997	AT1G60360	molecular_function_unknown	0003674	3226.0	unknown molecular functions
3998	AT1G60390	protein dimerization activity	0046983	15253.0	protein binding
3999	AT1G60420	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4000	AT1G60430	structural constituent of nuclear pore	0017056	4268.0	structural molecule activity
4001	AT1G60440	glutathione transferase activity	0004364	2545.0	transferase activity
4002	AT1G60460	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4003	AT1G60470	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4004	AT1G60490	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4005	AT1G60500	glutathione transferase activity	0004364	2545.0	transferase activity
4006	AT1G60530	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4007	AT1G60550	protein binding	0005515	3877.0	protein binding
4008	AT1G60560	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4009	AT1G60590	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4010	AT1G60600	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4011	AT1G60610	unfolded protein binding	0051082	18978.0	protein binding
4012	AT1G60620	protein binding	0005515	3877.0	protein binding
4013	AT1G60630	transmembrane transporter activity	0022857	27431.0	transporter activity
4014	AT1G60640	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
4015	AT1G60650	RNA helicase activity	0003724	1221.0	catalytic activity | hydrolase activity
4016	AT1G60660	ADP binding	0043531	22291.0	nucleotide binding | other binding
4017	AT1G60670	ubiquitin protein ligase binding	0031625	21916.0	protein binding
4018	AT1G60680	ubiquitin-protein transferase activity	0004842	4573.0	transferase activity | catalytic activity
4019	AT1G60690	cis-regulatory region sequence-specific DNA binding	0000987	35778.0	DNA binding | nucleic acid binding
4020	AT1G60700	ion transmembrane transporter activity, phosphorylative mechanism	0015662	1186.0	transporter activity
4021	AT1G60710	protein binding	0005515	3877.0	protein binding
4022	AT1G60730	hormone activity	0005179	2737.0	signaling receptor binding
4023	AT1G60740	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4024	AT1G60760	microtubule binding	0008017	3214.0	protein binding
4025	AT1G60770	protein self-association	0043621	22766.0	protein binding
4026	AT1G60780	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4027	AT1G60790	efflux transmembrane transporter activity	0015562	2219.0	transporter activity
4028	AT1G60800	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4029	AT1G60810	transcription corepressor activity	0003714	4447.0	transcription regulator activity
4030	AT1G60830	pyruvate dehydrogenase (acetyl-transferring) activity	0004739	3977.0	catalytic activity
4031	AT1G60850	actin binding	0003779	1353.0	protein binding
4032	AT1G60860	phosphorelay response regulator activity	0000156	4542.0	other molecular functions
4033	AT1G60870	oxidoreductase activity	0016491	3460.0	catalytic activity
4034	AT1G60890	alditol:NADP+ 1-oxidoreductase activity	0004032	1430.0	catalytic activity
4035	AT1G60900	metalloendopeptidase activity	0004222	3176.0	hydrolase activity | catalytic activity
4036	AT1G60920	mRNA binding	0003729	3091.0	RNA binding
4037	AT1G60930	mRNA binding	0003729	3091.0	RNA binding
4038	AT1G60940	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4039	AT1G60950	transmembrane transporter activity	0022857	27431.0	transporter activity
4040	AT1G60960	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
4041	AT1G60970	transmembrane transporter activity	0022857	27431.0	transporter activity
4042	AT1G60987	cargo adaptor activity	0140312	56502.0	other molecular functions
4043	AT1G60989	AU-rich element binding	0017091	908.0	RNA binding
4044	AT1G60990	hydrolase activity, hydrolyzing O-glycosyl compounds	0004553	2781.0	hydrolase activity
4045	AT1G60995	transferase activity, transferring glycosyl groups	0016757	14916.0	transferase activity
4046	AT1G61000	potassium ion transmembrane transporter activity	0015079	3807.0	transporter activity
4047	AT1G61010	protein binding	0005515	3877.0	protein binding
4048	AT1G61030	ubiquitin-protein transferase activity	0004842	4573.0	catalytic activity | transferase activity
4049	AT1G61040	SUMO-specific endopeptidase activity	0070139	31003.0	catalytic activity | hydrolase activity
4050	AT1G61065	RNA methyltransferase activity	0008173	1225.0	catalytic activity | transferase activity
4051	AT1G61080	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
4052	AT1G61100	zinc ion binding	0008270	4661.0	other binding
4053	AT1G61110	beta-glucosidase activity	0008422	1673.0	hydrolase activity
4054	AT1G61120	hydrolase activity, hydrolyzing O-glycosyl compounds	0004553	2781.0	hydrolase activity
4055	AT1G61140	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
4056	AT1G61150	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
4057	AT1G61160	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
4058	AT1G61165	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
4059	AT1G61170	ubiquitin protein ligase activity	0061630	45660.0	transferase activity | catalytic activity
4060	AT1G61180	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4061	AT1G61190	DNA-binding transcription factor activity	0003700	4449.0	DNA-binding transcription factor activity
4062	AT1G61200	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4063	AT1G61210	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4064	AT1G61215	protein-disulfide reductase activity	0047134	15671.0	catalytic activity
4065	AT1G61230	actin filament binding	0051015	18617.0	protein binding | other binding
4066	AT1G61240	pantothenate kinase activity	0004594	3588.0	kinase activity | transferase activity
4067	AT1G61250	inositol 3-alpha-galactosyltransferase activity	0047216	15816.0	transferase activity
4068	AT1G61255	protein binding	0005515	3877.0	protein binding
4069	AT1G61260	transferase activity, transferring glycosyl groups	0016757	14916.0	transferase activity
4070	AT1G61270	1-phosphatidylinositol-3-kinase activity	0016303	3663.0	transferase activity | kinase activity
4071	AT1G61280	GTPase activity	0003924	1041.0	hydrolase activity
4072	AT1G61290	GTPase activity	0003924	1041.0	hydrolase activity
4073	AT1G61300	1,4-dihydroxy-2-naphthoyl-CoA synthase activity	0008935	3292.0	catalytic activity
4074	AT1G61310	zinc ion binding	0008270	4661.0	other binding
4075	AT1G61340	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4076	AT1G61350	polygalacturonase activity	0004650	3789.0	hydrolase activity
4077	AT1G61360	prenyltransferase activity	0004659	3822.0	transferase activity
4078	AT1G61370	ubiquitin-protein transferase activity	0004842	4573.0	transferase activity | catalytic activity
4079	AT1G61380	protein dimerization activity	0046983	15253.0	protein binding
4080	AT1G61390	hormone activity	0005179	2737.0	signaling receptor binding
4081	AT1G61400	kinase activity	0016301	2953.0	kinase activity
4082	AT1G61410	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4083	AT1G61415	mRNA binding	0003729	3091.0	RNA binding
4084	AT1G61420	electron transfer activity	0009055	2223.0	catalytic activity
4085	AT1G61430	oxidoreductase activity	0016491	3460.0	catalytic activity
4086	AT1G61440	histone acetyltransferase activity (H4-K8 specific)	0043996	31259.0	transferase activity
4087	AT1G61450	thioredoxin peroxidase activity	0008379	4404.0	catalytic activity
4088	AT1G61460	pectinesterase activity	0030599	10939.0	hydrolase activity
4089	AT1G61470	mRNA binding	0003729	3091.0	RNA binding
4090	AT1G61475	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4091	AT1G61480	O-acetyltransferase activity	0016413	1171.0	transferase activity
4092	AT1G61490	protein binding	0005515	3877.0	protein binding
4093	AT1G61500	ATP citrate synthase activity	0003878	903.0	transferase activity
4094	AT1G61520	hormone activity	0005179	2737.0	signaling receptor binding
4095	AT1G61540	pre-mRNA 3'-splice site binding	0030628	11436.0	RNA binding
4096	AT1G61550	RNA polymerase I activity	0001054	35853.0	catalytic activity | transferase activity
4097	AT1G61560	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4098	AT1G61570	transcription regulatory region sequence-specific DNA binding	0000976	35767.0	nucleic acid binding | DNA binding
4099	AT1G61580	1-phosphatidylinositol-4-phosphate 5-kinase activity	0016308	749.0	kinase activity | transferase activity
4100	AT1G61600	poly-pyrimidine tract binding	0008187	3784.0	RNA binding
4101	AT1G61610	hormone activity	0005179	2737.0	signaling receptor binding
4102	AT1G61620	transcription regulatory region sequence-specific DNA binding	0000976	35767.0	DNA binding | nucleic acid binding
4103	AT1G61640	four-way junction helicase activity	0009378	1049.0	hydrolase activity | catalytic activity
4104	AT1G61660	protein serine/threonine kinase activity	0004674	3907.0	catalytic activity | transferase activity | kinase activity
4105	AT1G61667	protein binding	0005515	3877.0	protein binding
4106	AT1G61670	zinc ion transmembrane transporter activity	0005385	4663.0	transporter activity
4107	AT1G61680	dioxygenase activity	0051213	19457.0	catalytic activity
4108	AT1G61690	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4109	AT1G61700	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4110	AT1G61710	oxidoreductase activity	0016491	3460.0	catalytic activity
4111	AT1G61730	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4112	AT1G61740	protein-containing complex binding	0044877	46999.0	other binding
4113	AT1G61760	protein binding	0005515	3877.0	protein binding
4114	AT1G61770	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4115	AT1G61780	RNA polymerase II C-terminal domain phosphoserine binding	1990269	46146.0	protein binding
4116	AT1G61790	transferase activity, transferring glycosyl groups	0016757	14916.0	transferase activity
4117	AT1G61795	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4118	AT1G61800	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4119	AT1G61810	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4120	AT1G61820	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4121	AT1G61850	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4122	AT1G61860	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4123	AT1G61870	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4124	AT1G61890	sequence-specific DNA binding	0043565	22416.0	DNA binding
4125	AT1G61900	(E,E)-geranyllinalool synthase activity	0080013	30288.0	catalytic activity
4126	AT1G61930	serine-type carboxypeptidase activity	0004185	4101.0	catalytic activity | hydrolase activity
4127	AT1G61960	ATP binding	0005524	894.0	other binding | nucleotide binding
4128	AT1G61970	protein binding	0005515	3877.0	protein binding
4129	AT1G61980	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4130	AT1G61990	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4131	AT1G62000	ADP binding	0043531	22291.0	nucleotide binding | other binding
4132	AT1G62010	ADP binding	0043531	22291.0	nucleotide binding | other binding
4133	AT1G62020	protein binding	0005515	3877.0	protein binding
4134	AT1G62030	transferase activity, transferring glycosyl groups	0016757	14916.0	transferase activity
4135	AT1G62040	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4136	AT1G62045	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4137	AT1G62050	amino acid transmembrane transporter activity	0015171	1511.0	transporter activity
4138	AT1G62085	phosphatidylinositol N-acetylglucosaminyltransferase activity	0017176	8516.0	transferase activity
4139	AT1G62110	SNAP receptor activity	0005484	1256.0	other molecular functions
4140	AT1G62120	ADP binding	0043531	22291.0	nucleotide binding | other binding
4141	AT1G62130	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4142	AT1G62150	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4143	AT1G62180	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4144	AT1G62190	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4145	AT1G62200	protein serine/threonine kinase activity	0004674	3907.0	kinase activity | catalytic activity | transferase activity
4146	AT1G62240	protein serine/threonine kinase activity	0004674	3907.0	transferase activity | kinase activity | catalytic activity
4147	AT1G62250	pattern recognition receptor activity	0038187	47630.0	signaling receptor activity
4148	AT1G62260	protein serine/threonine kinase activity	0004674	3907.0	kinase activity | transferase activity | catalytic activity
4149	AT1G62262	protein serine/threonine kinase activity	0004674	3907.0	catalytic activity | kinase activity | transferase activity
4150	AT1G62290	DNA binding	0003677	961.0	DNA binding
4151	AT1G62300	molecular_function_unknown	0003674	3226.0	unknown molecular functions
4152	AT1G62305	calmodulin binding	0005516	1783.0	protein binding
